PM10Lehen,NOXLehen,RFLehen,LTLehen,O3Lehen,PM10Rud,MOXRud,RPRud,LTRud,CORud,WG,WT,GS
NaN,16.5,68,-4.6,NaN,35.8,86.3,76,-4.7,0.56,1.4,28,211
40.4,15.5,67,-4.2,58,39.4,77.3,71,-4.2,0.52,1.3,45,238
43.1,18,67,-3.9,57,39.1,70.7,69,-4.1,0.47,2.6,27,236
47.3,14.1,68,-3.9,62,36.2,61.1,68,-4.2,0.49,3,19,294
46,19.2,66,-3.3,61,38.7,60.2,69,-4.2,0.49,2.8,9,345
45.1,11.8,66,-3.6,68,39.2,53.3,69,-4.4,0.48,2.3,353,310
45.7,11.3,64,-3,69,41,54.1,68,-4.1,0.52,2.2,327,330
45.1,14,64,-3,66,55.3,54.4,67,-3.9,0.47,1.8,326,284
46.9,15.8,65,-2.9,66,54.7,56.9,67,-3.9,0.51,2.5,336,247
50.8,16.2,66,-3,65,54.6,54.1,67,-4,0.51,2.5,355,226
53.1,19,66,-3.3,62,54.5,64.9,67,-3.9,0.51,2.3,357,162
47.4,13.5,65,-3,70,53.9,57.2,66,-3.8,0.52,2.4,333,135
44.8,10.7,65,-3.1,73,54.9,50.3,66,-3.9,0.5,2.5,308,95
44.6,12.2,66,-3.4,68,54.9,69.1,67,-3.9,0.56,2.1,291,51
47.7,15.3,68,-3.5,64,56.7,72.5,68,-3.9,0.58,1.9,312,23
50.8,14.3,68,-3.6,65,54.7,60.4,69,-4.1,0.52,1.8,293,8
NaN,14.9,72,-3.7,65,60.2,NaN,71,-4.2,0.54,2.1,288,3
71.8,17.6,78,-3.8,64,63.8,63,76,-4.3,0.59,2.3,297,5
79.7,17.7,79,-4,67,60.4,64.9,79,-4.4,NaN,2.3,288,5
81.8,20.6,80,-4.1,60,65.2,42.8,78,-4.4,0.59,2.6,291,6
84.6,16.9,78,-4,64,69.3,63.5,79,-4.4,0.66,2.4,301,5
86,18.8,80,-4.2,58,73.2,75.2,79,-4.5,0.65,2.1,297,6
83.4,15.9,78,-3.9,62,66.9,71.4,80,-4.6,0.68,2.3,294,5
77.9,14.5,79,-4,60,68.4,58.7,81,-4.7,0.63,1.7,306,7
68.5,13.9,80,-4.3,56,68.8,47.2,83,-4.8,0.62,1.5,280,6
63.4,11.7,79,-4.2,59,67.1,52.4,83,-4.7,0.65,1.2,322,7
63.5,11.3,79,-4.2,58,68.1,40.8,84,-4.8,0.62,2.1,313,5
60.3,10.2,79,-4.3,60,60.7,36.7,83,-4.8,0.55,2.2,308,7
61.7,9.9,78,-4.3,60,57.2,31.2,82,-4.9,0.55,1.7,327,6
62.1,9,80,-4.5,60,59.5,33.1,82,-5,0.54,1.6,334,7
62.4,10.6,80,-4.6,56,58.6,38.2,82,-4.8,0.57,1.1,322,6
63,10.3,81,-4.4,56,62.6,32.3,83,-4.7,0.58,1.9,299,7
68.4,10,84,-4.8,55,66.7,29.3,85,-4.9,0.56,2.1,296,6
67.5,9.1,88,-5.3,56,59.7,35.1,88,-5.3,0.54,2,316,8
71.3,9.2,88,-5.4,55,60.2,26.9,90,-5.5,0.54,2.1,318,6
67.4,9.3,89,-5.6,54,58.1,38.8,90,-5.7,0.55,1.9,312,7
67.5,10.5,89,-5.5,51,59.5,32.2,91,-5.7,0.58,1.9,309,7
NaN,9,90,-5.7,54,64.5,31.1,92,-5.9,0.57,2.2,306,8
NaN,9.3,90,-5.7,53,60.6,23.4,92,-6,0.53,1.8,308,7
70.9,10.4,90,-5.7,51,59.2,19.8,93,-6,0.53,1.5,301,7
68.4,9.8,90,-5.9,53,67.2,30.9,93,-6,0.53,1.6,305,7
67.6,9.7,90,-5.9,53,62.4,28.7,93,-6.1,0.56,1.6,312,8
69.7,12.5,89,-5.9,47,63.6,29,93,-6,0.55,1.3,315,11
71.2,25.5,88,-5.6,41,61.6,39.4,92,-5.9,0.54,0.7,331,26
70,NaN,85,-5.1,42,64.4,38.8,91,-5.7,0.58,0.3,351,50
66.8,20.3,82,-5,42,65.5,88.8,89,-5.2,0.7,0.2,133,86
66.1,22.6,80,-4.6,44,74.5,88.8,85,-4.7,0.7,0.2,128,108
65.8,23.7,75,-4,46,72.2,88.7,78,-3.9,0.67,0.3,109,127
65.6,23.7,72,-3.5,49,72.4,79.3,71,-3.1,0.64,0.1,182,116
63.4,23.6,68,-2.5,52,64.8,85.2,67,-2.3,0.68,0.2,162,227
61.1,23.5,66,-2.2,NaN,57.5,81.3,62,-1.5,0.65,0.1,254,383
63.6,24.8,66,-2.5,58,59.7,54.5,67,-1.9,0.62,0.8,318,544
59.4,24.1,65,-2.2,62,59.9,71.9,69,-2.7,0.62,0.8,325,659
56.1,20.1,60,-1.3,69,57.4,60.4,66,-2.3,0.63,1.9,327,527
52.9,14.4,60,-1.3,78,63.2,34.9,63,-2.1,0.56,1.9,302,427
54.1,13.2,60,-1,82,52.2,40.7,62,-1.7,0.58,1.5,331,446
53.8,10.8,61,-1.2,85,59.2,43.2,63,-1.7,0.59,1.1,333,304
53.6,11.2,61,-1.4,88,52.4,49.8,64,-1.9,0.61,1.6,332,253
50.8,9.3,60,-1.6,96,59.1,66.7,63,-1.7,0.62,1.7,339,199
52.1,9,62,-1.7,99,53.3,31.9,62,-1.9,0.56,2,318,150
52.5,10,63,-1.8,97,46.2,45.4,64,-2,0.61,2,330,95
53.1,10.9,64,-1.7,95,50.7,52.9,65,-2.1,0.62,1.6,330,50
55.2,12.2,67,-1.8,93,54.1,58.7,66,-2.3,0.64,1.9,335,18
56.7,11.1,68,-2.1,94,55.7,66,67,-2.4,0.66,2,331,7
59.8,14.7,70,-2.2,87,59,82.5,69,-2.5,0.75,2.2,341,4
62.1,14.7,70,-2.2,85,62.1,56.3,69,-2.7,0.67,1.9,352,4
64,15.6,70,-2.3,83,63.6,NaN,69,-2.7,0.67,1.8,333,4
67.1,14.7,72,-2.4,80,66.6,51.2,71,-2.9,0.68,2.9,316,5
69.6,15,77,-2.7,77,66.3,35.7,76,-3.2,NaN,2.3,313,5
72.1,13.6,83,-3.2,77,65.8,38.9,85,-3.7,0.7,2,303,6
74.8,14.3,87,-3.5,72,70.9,34.9,88,-3.8,0.65,2.2,296,4
81.4,17.3,89,-3.7,62,68,44.3,90,-3.9,0.76,1.9,308,5
80.8,16.8,90,-4,62,69.4,45.6,92,-4,0.7,2.3,300,5
NaN,15.8,90,-4,61,66,40,92,-4.1,0.68,2.1,305,6
79.2,17.2,90,-4,59,70.9,58.3,92,-4.1,0.73,1.6,315,5
78.8,15.3,89,-4,62,67.4,51.9,92,-4.2,0.71,1.2,317,5
84.5,16.4,90,-4,59,74.9,40.2,92,-4.2,0.68,1.8,326,4
82.9,13.6,90,-4.1,62,82.6,44.1,92,-4.3,0.71,1.6,321,5
87.4,13.6,90,-4.1,58,78.8,42.7,93,-4.3,0.7,1.7,317,5
92.1,14.3,91,-4.4,54,78,31.7,93,-4.3,0.7,1.5,309,6
91.7,16.1,90,-4.4,49,85.6,34.6,93,-4.5,0.73,1.3,309,5
89.5,13.6,90,-4.5,55,84,36.9,93,-4.5,0.73,1.3,299,7
87.3,13.6,90,-4.5,54,80.2,34.9,92,-4.6,0.7,1.2,290,6
84.2,13.2,90,-4.6,58,81.6,23.5,92,-4.6,0.65,0.8,326,6
80,12.6,89,-4.5,61,74.6,30.7,91,-4.5,0.66,0.5,318,5
NaN,13.8,87,-4.3,60,77.5,28.6,91,-4.6,0.64,0.4,305,6
77.8,13.9,86,-4.4,57,70.5,28.1,89,-4.6,0.62,0.2,185,5
79.6,14.4,85,-4.1,56,69.5,33.1,88,-4.4,0.63,0.5,207,6
78.2,15.8,84,-3.9,55,79.8,22.6,87,-4.4,0.63,0.7,181,5
79.9,16,84,-3.9,52,72.7,42.6,86,-4.3,0.66,0.4,229,6
77.3,17,84,-4,50,80.6,43.4,86,-4.3,0.68,0.5,188,8
75.9,18.7,84,-3.7,48,79.9,59.3,87,-4.3,0.72,0.6,181,21
78.2,21.3,82,-3.3,46,85.8,53.9,88,-4.3,0.72,0.9,147,40
75.6,22.6,81,-3.2,47,83.2,48.6,87,-4.2,0.71,1.3,144,66
69.2,NaN,79,-3.2,59,80.3,47.4,86,-3.8,0.76,1.5,138,105
63.9,13.8,75,-2.4,65,75.7,52.5,84,-3.2,0.73,1.3,106,131
63.9,16.3,74,-2.3,65,70.5,56.7,79,-2.8,0.71,1,138,132
59.9,14.4,71,-1.9,71,64.8,66.4,76,-2.2,0.7,0.5,171,173
60.6,16.2,69,-1.2,72,68.7,36.8,73,-1.7,0.65,0.2,264,267
60.8,19,67,-0.5,72,60.8,45.9,70,-1.3,0.66,0.7,317,381
58.2,17.5,64,-0.3,NaN,58.3,38.9,68,-1.4,0.66,1.9,311,380
56.7,13.5,63,-0.1,83,55.3,41.7,66,-1.1,0.7,1.8,332,436
54.8,10.6,62,0,92,51.5,30.3,64,-1.1,0.63,1.6,328,477
52.2,9.1,60,0,99,53.9,34.2,65,-1.1,0.65,0.9,333,346
51.5,7.9,60,-0.1,102,48.5,44.5,62,-0.9,0.66,1,4,291
53.3,9.2,61,0.2,98,52.8,32.4,63,-0.7,0.64,1.3,302,275
54.9,10.3,65,-0.1,94,55.9,49.6,65,-0.6,0.66,1.7,328,208
54,9.3,65,-0.5,97,63.7,47.9,65,-0.6,0.66,2.1,330,206
53.7,10.1,69,-1,96,61,54.8,68,-1.2,0.71,1.1,352,75
50.9,10.2,71,-1.6,99,50.7,43.5,72,-1.7,0.65,1.6,52,58
55.3,14.9,73,-1.6,86,52.6,39.3,73,-1.8,0.64,1.3,15,31
57.4,15.6,74,-1.3,85,56.3,47.8,75,-1.8,0.69,0.9,6,9
60.6,14,77,-1.4,84,60.6,43.3,78,-1.8,0.68,0.9,348,5
62.3,17,78,-1.4,77,65.3,59.5,78,-1.7,0.72,1.2,326,5
64.7,16,79,-1.5,79,68.5,52.2,80,-1.9,0.74,1,316,4
65.1,14.7,82,-1.9,83,64,31.4,83,-2.1,0.66,0.8,322,5
66,16.9,84,-2,75,59.2,NaN,85,-2.2,0.67,0.8,240,4
74.2,20.4,85,-2.1,69,60.2,39.7,85,-2.2,0.74,1,249,5
71.2,18.3,85,-2.2,73,60.2,28,85,-2.3,NaN,1,321,4
75.3,14.9,84,-2.1,79,61.1,27.6,85,-2.2,0.7,0.4,339,5
75.4,13.7,83,-2,80,69.8,32.6,85,-2.3,0.71,0.3,195,5
77.4,15.7,83,-1.9,74,71.9,38.5,85,-2.3,0.73,0.8,170,5
74,15.7,82,-2,74,70.2,27.9,84,-2.3,0.7,0.6,187,4
81,18.4,83,-2,64,75.8,33.4,87,-2.5,0.77,0.9,168,5
77.2,20.6,85,-2.2,58,82.7,28.6,88,-2.6,0.74,0.8,166,4
76.3,18.1,85,-2.2,60,85.8,31.8,88,-2.6,0.8,0.8,129,5
82.3,21.7,86,-2.2,50,84.3,34.3,89,-2.7,0.78,1,139,4
81.9,22.2,86,-2.2,48,88.7,28.1,89,-2.7,0.76,1.2,118,5
78.5,19.7,85,-2.1,53,85.7,28.6,88,-2.8,0.76,0.8,119,4
79,18.9,84,-2.1,53,83.2,29.2,88,-2.8,0.77,1.2,138,6
79.7,18.5,85,-2.4,51,84.9,24.8,88,-2.9,0.75,1.4,158,5
78.7,18.3,84,-2.4,51,78.8,26.9,88,-3,0.74,0.7,178,6
77.1,18.1,84,-2.4,49,79.5,24.6,87,-3.1,0.71,1,136,5
70.9,16.1,82,-2.5,54,71.7,32.4,86,-3.1,0.73,1.4,167,6
71.3,19.8,82,-2.6,44,73.3,36.1,86,-3.2,0.71,0.4,156,5
71.6,24,83,-2.6,37,71.6,80.1,85,-3.1,0.8,1.2,136,5
75.2,24.3,83,-2.6,34,76.7,91.1,86,-3.1,0.82,1.4,150,5
69.2,24,81,-2.6,37,78,144.4,85,-3,1,1.3,147,7
71.3,26.3,83,-2.6,31,76.2,191.4,85,-2.9,1.06,1.9,106,12
72.7,39.5,81,-2.1,20,81.8,202.5,84,-2.7,1.07,1.7,156,34
71.8,35.5,81,-2.5,30,84.7,178.6,83,-2.7,1,1.6,157,123
69.1,40.7,76,-1.6,32,79.3,194.1,80,-2.2,1,1.6,148,189
71,50.1,72,-0.5,31,68.3,126.6,77,-1.8,0.91,1.1,152,284
65.7,38.3,66,0.3,46,69.5,123.4,71,-0.8,0.87,1.3,166,352
NaN,NaN,65,0.7,49,63.4,124.1,69,-0.4,0.81,1.3,173,413
65.5,39.8,66,0.4,48,64.3,122.3,66,0.5,0.82,0.9,201,456
67.4,46.9,67,0.2,45,64.3,73.4,62,1.6,0.73,0.4,266,519
64.7,45,62,1.2,49,68.9,85.1,61,1.7,0.71,0.2,260,559
59.3,31.2,60,1.6,66,65.7,69.9,62,0.9,0.7,0.6,300,480
56.8,19.5,58,1.9,87,73.4,54.5,60,1.4,0.67,1.1,3,488
52.6,15.5,57,2.5,NaN,74.2,60.8,60,1.5,0.68,1.9,338,533
52.1,15.6,57,2.6,96,61.1,63.1,60,1.7,0.68,2.4,322,501
52,15.9,58,3,94,61.7,36.3,61,1.7,0.67,2.1,315,450
51.8,14.2,58,3.1,97,57.7,55.6,61,2,0.7,2.1,323,395
51.2,15.4,58,3.2,95,62.7,NaN,61,2.2,0.69,2.2,316,326
51.1,19,58,3.2,100,64.5,NaN,61,2.2,NaN,1.8,331,252
52,12.2,61,3,107,65.7,NaN,62,2.1,NaN,2,331,174
54.2,15.9,62,2.6,98,68.3,69.9,63,2.1,0.75,1.9,341,103
60.2,24,64,1.8,83,75.2,80.9,64,1.7,0.76,1.6,344,39
66.6,29.8,67,0.9,75,81.8,78.9,67,1,0.73,1.6,344,9
72.5,30.2,70,0.1,69,84.8,110.3,69,0.5,0.88,1.9,317,3
72.9,31.9,73,-0.5,65,97.8,139.3,72,0,0.98,1.1,285,3
86.4,42.8,75,-0.8,39,97.7,183.1,77,-1,1.17,1.1,234,3
88.2,69.7,79,-1.4,6,98.1,183.2,80,-1.4,1.18,0.3,132,4
97.8,69.2,82,-2,6,100.8,191,81,-1.5,1.29,0.4,232,4
92.7,91.5,82,-2.1,5,100,195.8,82,-1.7,1.3,0.3,222,4
99.8,104.2,82,-2.7,5,96.5,NaN,83,-1.7,1.03,0.9,346,5
97.1,106.5,84,-2.9,4,89.3,160.5,83,-2.3,1.2,0.8,246,6
97.3,100.8,85,-3.2,4,85.9,142.6,86,-3,NaN,1.1,309,5
95.4,86.6,85,-3.6,4,86.6,141.2,87,-3.3,1.29,1.1,294,5
99.1,78.9,86,-3.8,5,84,123.2,88,-3.9,1.16,1.3,231,4
95.9,60.5,86,-3.7,6,86.2,98.9,89,-4,1.1,1.3,23,5
100,75.8,86,-3.8,3,90.4,106.8,89,-3.6,1.16,0.9,257,4
100.3,64.8,85,-3.7,3,93.3,88.8,89,-3.7,1.08,0.7,248,5
101.9,61.1,85,-3.7,3,83.3,79.4,89,-4.3,0.96,1,213,4
103.8,68.4,85,-3.5,3,81.7,79.9,89,-4.3,0.93,0.5,28,5
102.3,64.6,85,-3.6,3,85.3,76.6,89,-4.1,0.92,0.4,196,5
102.5,61.7,85,-3.4,3,79.7,72.2,89,-4,0.9,0.3,252,6
101.3,71,85,-3.1,3,80.5,64.7,89,-3.8,0.85,0.6,193,5
102.6,70,84,-2.9,3,81.8,65.9,89,-3.8,0.86,1.1,167,5
100.1,59.4,84,-3,2,77.2,66.8,89,-3.8,0.89,0.6,137,5
98.8,59.8,85,-3.2,3,80.3,60,89,-3.4,0.87,0.2,60,5
98.6,60.1,85,-3,2,85.7,64.6,88,-3.3,0.86,0.4,288,3
98.5,63.9,84,-2.8,3,83.4,87.8,87,-3,0.89,0.6,328,4
99,68.4,86,-2.8,3,85.3,124,87,-2.7,1.02,1,313,3
101.1,80.3,87,-2.4,3,90.2,149.9,89,-2.7,1.03,0.3,321,4
103.5,99.5,89,-2.6,3,87.1,167.4,90,-2.6,1.05,1.4,304,6
109.2,107.7,91,-2.6,4,91.1,205.8,92,-2.7,1.21,0.9,267,11
110.5,125.1,91,-2.5,5,88.9,244.2,93,-2.9,1.3,0.2,213,16
108,130.5,91,-2,5,101.4,252.5,94,-2.7,1.3,0.9,138,18
91.2,97.4,91,-1.6,7,103.2,246.4,94,-2.4,1.28,0.9,151,23
84.3,77,91,-1.5,12,102.9,236.4,94,-2.1,1.28,0.8,157,34
85.8,78.3,91,-1.1,14,95.3,213.4,94,-1.9,1.17,1.3,146,40
85.7,86.6,91,-1,19,88.4,225.1,94,-1.3,1.01,1.2,139,53
68.1,NaN,89,-0.1,33,78.9,180.2,94,-0.6,0.91,1.1,137,69
56.1,56.4,87,0.3,32,66,166.4,93,-0.1,0.89,0.8,146,98
43.5,48.5,83,1.2,39,54.2,133.2,91,0.5,0.81,0.1,149,114
46.2,49.8,83,1.5,34,49.2,146.8,89,0.9,0.78,0.2,281,122
59.4,76.4,84,1.8,22,42.1,87,86,1.4,0.65,0.1,297,202
63.2,81.9,82,2.2,23,44,104.1,85,1.5,0.79,0.3,193,275
57.4,77.6,81,2.6,NaN,52.6,107.1,86,1.8,0.83,0.3,284,339
48.4,66.6,79,2.7,33,52.6,112.3,85,1.7,0.81,1.4,322,239
40.6,37.5,80,2.2,57,41.4,113.9,85,1.7,0.72,1.6,328,186
NaN,29.5,83,1.8,56,48.3,89.3,85,1.5,0.65,2,326,93
51.8,31.7,86,1.4,48,40.2,123.1,88,1.2,0.77,2.2,332,52
60.9,36.6,89,0.9,37,43.8,105.4,90,1,0.87,2,323,29
59.4,34.6,89,0.7,39,51,133.3,91,0.8,0.89,1.8,317,13
62.6,35.6,91,0.7,32,51.4,102.2,92,0.6,0.77,1.4,305,6
67.7,50.9,91,0.7,13,53.8,78.8,92,0.7,0.73,0.8,309,3
65.9,44.7,91,0.7,17,54.3,107.3,92,0.7,0.83,0.7,324,4
66.9,42.4,92,0.7,15,55.3,193.3,92,0.8,1.09,0.8,323,3
70.3,47,92,0.7,7,60,160,93,0.7,1.08,0.7,315,4
82.8,51.4,93,0.8,6,56.6,168.1,93,0.6,1.06,0.7,315,3
74.2,47,93,0.7,6,57.1,148.3,94,0.5,1.03,0.3,225,4
73,40.9,93,0.7,14,70.5,137.3,94,0.5,1.09,0.2,271,3
70.2,39.9,92,1,10,75.1,135.7,94,0.6,1.11,0.2,180,5
66.9,36.2,92,1.1,14,73.9,NaN,94,0.6,1.17,0.4,236,4
65.6,34.5,92,0.8,12,72.5,108.7,94,0.5,0.96,0.6,315,5
66.8,30.4,92,0.8,16,70.3,112.4,94,0.5,NaN,1,309,3
70.2,27.5,93,0.7,18,69,60.5,94,0.6,0.86,1,315,5
69.8,23.8,92,0.6,25,70.1,55,94,0.6,0.77,1,311,3
71.2,21.4,93,0.4,27,72.8,42.7,94,0.5,0.82,0.8,312,4
73.4,24.1,93,0.5,22,73.6,41.2,94,0.5,0.75,0.8,302,3
75.1,25.7,93,0.7,17,68.7,35.4,94,0.4,0.73,0.7,321,4
79.4,25.5,93,0.5,16,68.9,28.9,94,0.4,0.73,0.8,310,4
81,26.1,93,0.6,11,68.8,28.2,94,0.3,0.75,0.8,327,5
81,24.7,93,0.6,14,74,24.8,95,0.4,0.69,0.6,337,4
81,23.2,93,0.6,15,75,29.2,95,0.4,0.67,1,328,5
81.9,21.5,94,0.5,20,68.4,33.6,95,0.3,0.67,1,333,4
NaN,21.6,94,0.5,16,65.5,34.1,96,0.2,0.71,0.7,326,5
83.7,25.8,94,0.5,8,68.1,39.7,96,0.3,0.67,0.8,323,4
NaN,25.9,94,0.6,12,66.1,53.1,96,0.4,0.71,0.4,254,5
76.7,30.1,95,0.6,8,61.4,99.4,96,0.4,0.77,0.4,307,4
77.3,35.4,94,0.7,6,68.5,66,96,0.4,0.76,0.9,359,5
77.6,38.1,94,0.8,4,65.9,121.3,96,0.5,0.88,0.5,311,6
83.7,51.1,94,0.8,4,66.4,160.8,97,0.6,0.95,0.6,301,12
84.6,51.6,94,0.8,6,76.7,213.4,97,0.7,1.12,0.8,245,17
78.3,57,94,0.9,7,73.4,157.8,97,0.6,0.95,0.6,295,28
84.7,71.1,93,1,5,77.8,147.5,97,0.7,0.91,0.6,317,37
89,66.3,93,1,7,79.3,120,97,0.8,0.91,0.7,283,47
87.2,60.8,92,1.3,8,74.9,96.4,96,0.9,0.77,0.8,298,68
76.4,49.1,91,1.5,16,66.6,137.2,96,1.2,0.83,0.4,297,97
58.5,39.4,90,1.8,23,66.3,160.4,95,1.4,0.85,0.3,226,132
55.1,37.3,87,2.3,26,66,145.8,95,1.6,0.84,0.3,85,136
59.4,NaN,86,2.6,23,64.8,93.3,94,1.8,0.76,0.5,316,147
64.3,36.5,86,2.6,22,64.6,108.2,92,2,0.87,1,318,113
62.9,38,86,2.7,20,65.1,96.2,91,2.2,0.8,1.2,307,115
55.5,37.6,85,2.8,19,61,99.8,88,2.6,0.78,1.5,277,101
46.3,35,85,3,20,55.6,97.5,88,2.5,0.82,1.8,242,87
38.9,34.7,84,3,17,52.2,55.5,88,2.5,0.74,1.8,241,90
39.7,40.6,86,3,NaN,49.5,144.7,87,2.8,0.95,1.7,245,70
25.2,39.1,84,3.2,13,52.3,182.5,87,2.8,1.07,1.6,254,52
21.4,39.8,83,3.3,13,60.2,204.4,88,2.8,1.12,1.6,248,44
28.1,45.4,84,3.1,7,59.7,154.2,89,2.6,1.02,1.4,313,33
49,62.6,86,2.9,3,53.9,156.5,89,2.4,1,1.6,319,16
36.5,53.5,87,2.7,4,49.4,94.6,90,2.3,0.83,1.7,317,7
22.3,38.7,85,2.7,7,44.4,158.4,90,2.4,1.04,1.8,320,4
23.9,37.2,85,2.6,6,48,158.3,90,2.3,0.98,2.1,294,4
32,45.1,85,2.6,3,45,174.7,91,2.2,1.17,2,285,3
37.9,57.8,89,2.2,3,46.8,169.7,91,2,1.15,1.4,277,4
40.3,75.8,90,2.3,3,43.4,145.4,92,1.8,0.98,1,255,3
34.2,71.3,91,2,3,38.4,136.6,92,1.8,0.93,1.1,256,4
30.9,64.3,90,1.9,3,37.8,143.9,92,1.8,0.97,1.1,234,4
30.6,61.7,90,1.9,3,34.8,131.6,91,1.8,0.91,0.5,175,5
30.9,57.5,90,1.8,2,31.9,134.3,92,1.8,0.95,0.5,139,3
30.8,53.5,90,1.9,2,36.4,116.6,92,1.7,0.93,0.3,122,4
31.2,49.3,90,1.9,2,35.8,NaN,92,1.7,0.77,0.6,113,3
32.3,41.7,89,2.1,2,28.7,79.4,91,1.7,0.81,1,185,4
34,42,89,2,3,35.7,89,92,1.6,NaN,0.9,190,4
33.7,45.2,90,1.9,2,41.8,64.9,92,1.6,0.76,0.7,238,4
NaN,46.7,90,2.1,2,37.4,68.1,92,1.6,0.76,0.2,211,3
32.2,53,89,2.2,2,40.3,56.3,92,1.6,0.74,0.2,219,4
31.2,52.2,89,1.9,2,43.5,60.1,93,1.5,0.73,0.1,198,4
32.5,51.7,91,1.6,2,38.3,59.8,93,1.4,0.76,0.4,232,5
33.2,51.2,90,1.8,2,42.3,65.1,93,1.3,0.81,0.3,230,4
32.9,45,91,1.7,2,52.2,60.8,94,1.2,0.78,0.4,220,5
32.6,43,90,1.7,2,59.6,64,95,1.1,0.8,0.8,255,4
31.1,39.9,90,1.6,2,50.9,74.3,95,1.1,0.79,0.6,259,4
30.2,35.6,91,1.5,2,47,91.7,95,1.1,0.76,0.4,219,3
30.7,40,91,1.6,2,41,116.5,95,1.1,0.78,0.6,179,4
31.8,45.2,91,1.5,2,36.9,155.3,95,1.2,0.89,1,160,3
33.9,51.3,91,1.5,2,44.5,206.2,95,1.3,1.06,0.5,141,5
39.5,49.5,91,1.5,3,54.3,225,95,1.4,1.01,0.4,124,12
43.8,55.6,90,1.9,4,56.8,232.2,94,1.6,1.11,0.6,130,32
NaN,66.1,88,2.5,5,60.3,236.5,94,1.7,1.09,0.6,156,73
46.7,63.3,85,2.8,7,63.1,202.4,93,2,1.09,0.5,184,118
48.3,73.8,84,3.1,8,62.6,208.3,92,2.5,1,0.6,244,179
44.3,73.6,82,3.6,10,64.6,165.3,88,2.9,0.98,0.5,256,236
39.3,88,79,4.2,12,58.4,149.7,85,3.4,0.85,0.4,267,305
15.1,29.1,73,4.6,33,58.2,77.9,78,4.1,0.6,0.6,319,288
14.2,21.8,73,4.8,38,37.4,51.5,74,4.6,0.47,0.8,336,390
14.6,19.2,72,5,40,26.9,55.5,74,4.6,0.48,1,282,370
16,20,70,5.4,41,31.9,48.9,73,4.9,0.46,2,321,419
17.7,18.6,71,5.1,43,28.8,44,73,4.8,0.42,1.9,322,620
18.3,NaN,69,5.5,46,23.8,47.4,74,4.6,0.45,1.8,327,477
20.6,17.6,70,5.4,47,23.9,51,74,4.5,0.43,2,325,590
23.2,18,69,5.6,45,29,48.2,74,4.4,0.43,2.1,325,338
23.4,18.6,71,5.3,43,34.7,55.1,74,4.6,0.47,2.7,318,323
24.9,20,72,5,40,29.5,52.4,75,4.3,0.46,2.3,328,198
24.7,19.7,73,4.8,40,28.4,68,77,4.1,0.5,2.3,327,140
24.8,19.2,75,4.5,NaN,31.9,64.1,78,3.8,0.46,2.8,317,86
27.4,17.2,77,4,40,35.9,65.8,79,3.5,0.61,2.6,321,47
30.9,26.8,78,3.7,26,43.1,74.9,81,3.2,0.57,3,325,21
28.8,24.2,78,3.4,27,42.1,79.8,81,3.1,0.57,2.6,316,8
31.4,27.7,80,3.1,21,46.4,68.7,80,3.1,0.53,2.8,309,4
30.7,29.7,80,3,19,39.3,63.9,81,2.9,0.54,2.7,305,4
35.2,27,80,2.8,25,36.5,61.2,81,2.8,0.49,2.4,308,4
33,21.7,81,2.7,31,40.6,43,82,2.5,0.46,2.4,309,4
34.9,21.6,81,2.7,31,38.9,67,82,2.4,0.54,3,314,4
30.6,18.1,82,2.5,34,39.2,65.2,83,2.3,0.54,2.6,315,5
30,16.6,83,2.3,35,35.2,42.2,84,2.2,0.46,2,318,4
33.9,15.5,84,2.1,38,34.1,58.8,85,2.2,0.54,1.6,315,6
37.2,14.6,86,2,39,33.7,47.3,86,1.9,0.52,1.3,326,5
39.4,13.6,87,1.8,39,38.5,41.6,88,1.7,0.46,1.8,320,6
40.7,15.2,87,1.8,35,34.1,29.3,88,1.6,0.41,1.8,321,5
37.2,12.5,87,1.8,40,32.7,27.9,88,1.5,0.41,0.9,343,5
36.5,11.5,86,1.8,41,32.5,NaN,88,1.5,0.42,0.5,309,5
36.4,12.3,86,1.9,39,37.5,32.2,88,1.5,0.46,0.9,311,6
38.4,11.9,86,1.9,39,36,24.6,89,1.4,NaN,0.4,241,5
39.9,11.3,88,1.6,39,36.4,25.8,89,1.4,0.38,0.6,190,5
38.6,9.8,88,1.6,41,40.4,20.8,90,1.3,0.43,0.7,237,5
41,8.7,89,1.4,44,33.9,19.3,90,1.2,0.37,0.7,230,6
42.7,9,89,1.3,45,39.3,15.2,90,1.2,0.37,0.5,193,5
49,9.4,89,1.4,44,42,21.6,91,1.1,0.39,0.5,295,6
42.1,9.8,89,1.4,42,36.3,22,91,1.1,0.38,0.7,313,5
37.8,9.6,89,1.4,40,39.2,27.3,91,1,0.37,0.4,267,6
39.7,10.7,89,1.4,37,36.3,20.5,91,1.1,0.38,0.6,236,5
NaN,11.3,89,1.4,34,34.6,30,90,1.1,0.4,0.6,244,5
40.3,16.7,89,1.4,24,34.9,27.3,91,1.1,0.41,0.3,303,5
40.6,18.3,89,1.4,21,32.2,55.4,91,1,0.44,0.4,299,6
39.5,22.1,89,1.4,17,33.3,76.2,91,1.1,0.47,0.5,228,9
40,25.4,89,1.3,17,37.8,98.1,91,1.2,0.52,0.4,214,21
38.1,25,89,1.4,18,37.6,102.8,91,1.2,0.56,1,310,33
